suffix,definition,part_of_grammar,Unnamed: 3,linkers
abad,"Excessively devoted to {present}, obsessed with {present}",adjective/noun,,
ability,"The quality of being {adjective}, suitability for {present}",noun,,
able,"Capable of being {past}, suitable for {present}",adjective,,
ably,"In a manner that can be {past}, suitable for being {past}",adverb,,
aboo,"Related to {base} in a playful or childish way, a quirky fascination with {base}",adjective/noun,,
ac,Related to or characteristic of {base},adjective,,
acean,"Belonging to the class of {base}, related to {base}",noun,,
aceous,Belonging to or resembling of {present},adjective,,
acious,"Characterized by {present}, inclined to {base}",adjective,,
acity,"Quality of being {past}, inclined to {base}",noun,,
acy,State or quality of being {past} or {adjective},noun,,
ad,Toward or in the direction of {base},adverb,,
ade,"Result of the action {base}, process of {base}",noun,,
adelic,"Related to a unique or visionary {present}, dreamlike {present}",adjective,,
adic,"Related to {present}, having a numerical or systematic characteristic",adjective,,
aemia,Condition of having {base} in the blood,compound noun,,
age,"Action or process of {present}, result of {present}",noun,i,
ago,"A state or condition related to {base}, usually negative",noun,,
agogue,"Leader or promoter of {base}, bringing about {base}",noun,,
aholic,"One who is addicted to {base}, excessive enthusiasm for {base}",noun,,
al,Relating to or characterized by {present},adjective,i,
algia,"Pain associated with {present}, process of {present}",noun,,
all,"Related to or concerning {base}, pertaining to {base}",adjective,,
ally,"In a manner of {present}, in relation to {present}",adverb,,
amine,"Compound derived from {base}, chemical related to {base}",noun,,
an,"Related to {present}, a person associated with {present}",adjective/noun,,
ana,"Collection of materials or information related to {present}, associated anecdotes or sayings",noun,,
ance,State or quality of being {past} or {adjective},noun,,
ancy,State or quality of being {past} or {adjective},noun,,
androus,"Having male characteristics or organs related to {present}, pertaining to {present}",adjective,,
andry,"State or condition related to male characteristics in {present}, having male organs in {present}",noun,,
ane,"Relating to or characteristic of {present}, pertaining to {present}",adjective,,
ant,"A person who {plural}, a thing that promotes {present}",noun/adjective,,
ar,Relating to or resembling {present},adjective,,
arch,"Ruler or leader in {present}, person of highest authority in {present}",noun,,
archy,"Form of government or rule by {present}, related to the system of {present}",noun,,
ard,"One characterized by {present}, often pejorative or indicating excess in {present}",noun,,
arian,"A person who advocates {present}, associated with {present}",noun/adjective,,
arium,"Place or container for {present}, related to {present}",noun,,
art,"Skill or technique related to {present}, product or result of {present}",noun,,
ary,"Connected with {present}, a result of {present}",adjective/noun,i,
ase,"Enzyme associated with {present}, catalyst for {present}",noun,,
aster,Inferior or imitation of {present},noun,,
ate,"To make or become {past}, {adjective}, characterized by {present}",verb/adjective,,
athon,"Marathon or prolonged event related to {present}, extensive {present}",noun,,
ation,Action or process of {present},noun,,
ative,"Tending to {present}, having the nature of {present}",adjective,,
ator,"One who does {present}, agent of {present}",noun,,
atory,"Related to or serving for {present}, intended for {present}",adjective,,
bag,Used to insult or describe someone negatively related to being {past},noun,,
bait,Something used to provoke a reaction related to {present},noun,,
biont,"Organism living in a particular {present}, life form related to {present}",noun,,
biosis,"Mode of living or condition of life related to {present}, symbiosis with {present}",noun,,
blast,"Embryonic or immature stage of {present}, precursor of {present}",noun,,
bomb,A thing that fails or is terrible related to {present},noun,,
boo,"Endearingly related to {base}, cute or playful {base}",noun/adjective,,
bot,"Automated system related to {present}, robot performing {present}",noun,,
burg,Town or fortified place of {present},noun,,
cade,"Procession or parade related to {present}, systematic action of {present}",noun,,
can,Supporter or member of a particular system related to {present},noun,i a,
carpous,"Having the fruit or seed of {present}, producing {present}",adjective,,
cele,"Swelling or hernia related to {present}, protrusion of {present}",noun,,
cene,"Relating to a specific period of {present}, era of {present}",noun,,
centric,"Centered or focused on {present}, having a central relation to {present}",adjective,,
cephalous,"Having a head or headlike structure in {present}, characteristic of {present}",adjective,,
cephaly,"Condition of the head or skull related to {present}, form of {present}",noun,,
ception,"The act or process of taking the {past}, perception related to {present}",noun,,
chore,"Dispersal or spreading mechanism related to {present}, movement of {present}",noun,,
chory,"Dispersal by means of {present}, distribution through {present}",noun,,
cidal,"Related to killing the {past}, destructive to the {past}",adjective,i, i
cide,The act of killing {past},noun,i o a, i
cism,"A belief system related to {base}, an ideology or practice of {base}",noun,,
clast,"Breaker or destroyer of {present}, fragmenter of {present}",noun,,
clinal,"Inclination or gradient related to {present}, having a slope in {present}",adjective,,
cline,"Gradient or slope related to {present}, inclination in {present}",noun,,
clinic,"Pertaining to medical treatment of {present}, relating to the practice of {present}",noun/adjective,,
coelous,"Having a hollow or cavity related to {present}, characteristic of {present}",adjective,,
