base,present,past,participle,adjective
aah,aahing,aahed,aahed,aahible
abacinate,abacinating,abacinated,abacinated,abacinateable
abalienate,abalienating,abalienated,abalienated,abalienateable
aband,abanding,abanded,abanded,abandable
abandon,abandoning,abandoned,abandoned,abandonable
abase,abasing,abased,abased,abaseable
abash,abashing,abashed,abashed,abashable
abastard,abastarding,abastarded,abastarded,abastardable
abastardize,abastardising,abastardised,abastardised,abastardiseable
abastardize,abastardizing,abastardized,abastardized,abastardizeable
abate,abating,abated,abated,abateable
abbreviate,abbreviating,abbreviated,abbreviated,abbreviateable
abdicate,abdicating,abdicated,abdicated,abdicateable
abduce,abducing,abduced,abduced,abduceable
abduct,abducting,abducted,abducted,abductible
abegge,abegging,abegged,abegged,abeggeable
abelianize,abelianising,abelianised,abelianised,abelianiseable
abelianize,abelianizing,abelianized,abelianized,abelianizeable
abend,abending,abended,abended,abendable
aber,abering,abered,abered,aberable
aberr,aberring,aberred,aberred,aberrible
aberrate,aberrating,aberrated,aberrated,aberrateable
aberuncate,aberuncating,aberuncated,aberuncated,aberuncateable
abet,abetting,abetted,abetted,abetable
abhor,abhorring,abhorred,abhorred,abhorable
abhor,abhouring,abhoured,abhoured,abhourable
abirritate,abirritating,abirritated,abirritated,abirritateable
abite,abiting,abit,abitten,abiteable
abject,abjecting,abjected,abjected,abjectable
abjoint,abjointing,abjointed,abjointed,abjointable
abjudge,abjudging,abjudged,abjudged,abjudgeable
abjudicate,abjudicating,abjudicated,abjudicated,abjudicateable
abjugate,abjugating,abjugated,abjugated,abjugateable
abjure,abjuring,abjured,abjured,abjureable
ablactate,ablactating,ablactated,ablactated,ablactateable
ablaqueate,ablaqueating,ablaqueated,ablaqueated,ablaqueateable
ablate,ablating,ablated,ablated,ablateable
ablaut,ablauting,ablauted,ablauted,ablautable
able,abling,abled,abled,ableable
ablegate,ablegating,ablegated,ablegated,ablegateable
abligate,abligating,abligated,abligated,abligateable
ablude,abluding,abluded,abluded,abludeable
ablute,abluting,abluted,abluted,abluteable
abnegate,abnegating,abnegated,abnegated,abnegateable
abnormalize,abnormalising,abnormalised,abnormalised,abnormaliseable
abnormalize,abnormalizing,abnormalized,abnormalized,abnormalizeable
abode,aboding,aboded,aboded,abodeable
abolish,abolishing,abolished,abolished,abolishable
abolitionize,abolitionising,abolitionised,abolitionised,abolitioniseable
abolitionize,abolitionizing,abolitionized,abolitionized,abolitionizeable
abominate,abominating,abominated,abominated,abominateable
abomine,abomining,abomined,abomined,abomineable
abord,abording,aborded,aborded,abordable
abort,aborting,aborted,aborted,abortable
abortive,abortiving,abortived,abortived,abortiveable
abound,abounding,abounded,abounded,aboundable
abrade,abrading,abraded,abraded,abradeable
abrase,abrasing,abrased,abrased,abraseable
abray,abraying,abrayed,abrayed,abrayable
abreact,abreacting,abreacted,abreacted,abreactable
abrenounce,abrenouncing,abrenounced,abrenounced,abrenounceable
abridge,abridging,abridged,abridged,abridgeable
abroach,abroaching,abroached,abroached,abroachable
abrogate,abrogating,abrogated,abrogated,abrogateable
abrook,abrooking,abrooked,abrooked,abrookable
abrupt,abrupting,abrupted,abrupted,abruptable
abscess,abscessing,abscessed,abscessed,abscessable
abscind,abscinding,abscinded,abscinded,abscindable
abscize,abscising,abscised,abscised,absciseable
absciss,abscissing,abscissed,abscissed,abscissable
abscond,absconding,absconded,absconded,abscondable
abseil,abseiling,abseiled,abseiled,abseilable
absent,absenting,absented,absented,absentable
absinthiate,absinthiating,absinthiated,absinthiated,absinthiateable
absist,absisting,absisted,absisted,absistable
absolutize,absolutising,absolutised,absolutised,absolutiseable
absolutize,absolutizing,absolutized,absolutized,absolutizeable
absolve,absolving,absolved,absolved,absolveable
absquatulate,absquatulating,absquatulated,absquatulated,absquatulateable
abstain,abstaining,abstained,abstained,abstainable
absterge,absterging,absterged,absterged,abstergeable
absterse,abstersing,abstersed,abstersed,absterseable
abstract,abstracting,abstracted,abstracted,abstractable
abstractify,abstractifying,abstractified,abstractified,abstractifyable
abstrict,abstricting,abstricted,abstricted,abstrictable
abstringe,abstringing,abstringed,abstringed,abstringeable
abstrude,abstruding,abstruded,abstruded,abstrudeable
absume,absuming,absumed,absumed,absumeable
abuse,abusing,abused,abused,abuseable
abut,abutting,abutted,abutted,abutable
abutt,abutting,abutted,abutted,abuttable
abuy,abuying,abought,abought,abuyable
abvolate,abvolating,abvolated,abvolated,abvolateable
aby,abying,abought,abought,abyable
abye,abying,abought,abought,abyeable
academicize,academicising,academicised,academicised,academiciseable
academicize,academicizing,academicized,academicized,academicizeable
academize,academising,academised,academised,academiseable
academize,academizing,academized,academized,academizeable
accede,acceding,acceded,acceded,accedeable
acceed,acceeding,acceeded,acceeded,acceedable
accelerate,accelerating,accelerated,accelerated,accelerateable
accend,accending,accended,accended,accendible
accent,accenting,accented,accented,accentable
accentuate,accentuating,accentuated,accentuated,accentuateable
accept,accepting,accepted,accepted,acceptable
access,accessing,accessed,accessed,accessable
accession,accessioning,accessioned,accessioned,accessionable
accessorize,accessorising,accessorised,accessorised,accessoriseable
accessorize,accessorizing,accessorized,accessorized,accessorizeable
accinge,accinging,accinged,accinged,accingeable
accite,acciting,accited,accited,acciteable
acclaim,acclaiming,acclaimed,acclaimed,acclaimable
acclamate,acclamating,acclamated,acclamated,acclamateable
acclimate,acclimating,acclimated,acclimated,acclimateable
acclimatize,acclimatising,acclimatised,acclimatised,acclimatiseable
acclimatize,acclimatizing,acclimatized,acclimatized,acclimatizeable
accloy,accloying,accloyed,accloyed,accloyable
accoast,accoasting,accoasted,accoasted,accoastable
accoil,accoiling,accoiled,accoiled,accoilable
accolade,accolading,accoladed,accoladed,accoladeable
accoll,accolling,accolled,accolled,accollable
accommodate,accommodating,accommodated,accommodated,accommodateable
accompany,accompanying,accompanied,accompanied,accompanyable
accomplish,accomplishing,accomplished,accomplished,accomplishable
accompt,accompting,accompted,accompted,accomptable
accord,according,accorded,accorded,accordable
